"Iteracao";"RSS"
628;103.920838
629;103.919429
630;103.918020
631;103.916610
632;103.915201
633;103.913792
634;103.912383
635;103.910974
636;103.909565
637;103.908155
638;103.906746
639;103.905337
640;103.903928
641;103.902519
642;103.901110
643;103.899701
644;103.898293
645;103.896884
646;103.895475
647;103.894066
648;103.892657
649;103.891248
650;103.889840
651;103.888431
652;103.887022
653;103.885614
654;103.884205
655;103.882796
656;103.881388
657;103.879979
658;103.878571
659;103.877162
660;103.875754
661;103.874345
662;103.872937
663;103.871529
664;103.870120
665;103.868712
666;103.867304
667;103.865895
668;103.864487
669;103.863079
670;103.861671
671;103.860262
672;103.858854
673;103.857446
674;103.856038
675;103.854630
676;103.853222
677;103.851814
678;103.850406
679;103.848998
680;103.847590
681;103.846182
682;103.844774
683;103.843366
684;103.841958
685;103.840551
686;103.839143
687;103.837735
688;103.836327
689;103.834920
690;103.833512
691;103.832104
692;103.830697
693;103.829289
694;103.827882
695;103.826474
696;103.825067
697;103.823659
698;103.822252
699;103.820844
700;103.819437
701;103.818029
702;103.816622
703;103.815215
704;103.813808
705;103.812400
706;103.810993
707;103.809586
708;103.808179
709;103.806771
710;103.805364
711;103.803957
712;103.802550
713;103.801143
714;103.799736
715;103.798329
716;103.796922
717;103.795515
718;103.794108
719;103.792701
720;103.791294
721;103.789888
722;103.788481
723;103.787074
724;103.785667
725;103.784261
726;103.782854
727;103.781447
728;103.780040
729;103.778634
730;103.777227
731;103.775821
732;103.774414
733;103.773008
734;103.771601
735;103.770195
736;103.768788
737;103.767382
738;103.765975
739;103.764569
740;103.763163
741;103.761756
742;103.760350
743;103.758944
744;103.757538
745;103.756132
746;103.754725
747;103.753319
748;103.751913
749;103.750507
750;103.749101
751;103.747695
752;103.746289
753;103.744883
754;103.743477
755;103.742071
756;103.740665
757;103.739259
758;103.737853
759;103.736448
760;103.735042
761;103.733636
762;103.732230
763;103.730825
764;103.729419
765;103.728013
766;103.726608
767;103.725202
768;103.723796
769;103.722391
770;103.720985
771;103.719580
772;103.718174
773;103.716769
774;103.715363
775;103.713958
776;103.712553
777;103.711147
778;103.709742
779;103.708337
780;103.706931
781;103.705526
782;103.704121
783;103.702716
784;103.701311
785;103.699906
786;103.698500
787;103.697095
788;103.695690
789;103.694285
790;103.692880
791;103.691475
792;103.690070
793;103.688665
794;103.687261
795;103.685856
796;103.684451
797;103.683046
798;103.681641
799;103.680237
800;103.678832
801;103.677427
802;103.676022
803;103.674618
804;103.673213
805;103.671809
806;103.670404
807;103.669000
808;103.667595
809;103.666191
810;103.664786
811;103.663382
812;103.661977
813;103.660573
814;103.659168
815;103.657764
816;103.656360
817;103.654956
818;103.653551
819;103.652147
820;103.650743
821;103.649339
822;103.647935
823;103.646531
824;103.645126
825;103.643722
826;103.642318
827;103.640914
828;103.639510
829;103.638106
830;103.636702
831;103.635299
832;103.633895
833;103.632491
834;103.631087
835;103.629683
836;103.628279
837;103.626876
838;103.625472
839;103.624068
840;103.622665
841;103.621261
842;103.619857
843;103.618454
844;103.617050
845;103.615647
846;103.614243
847;103.612840
848;103.611436
849;103.610033
850;103.608630
851;103.607226
852;103.605823
853;103.604420
854;103.603016
855;103.601613
856;103.600210
857;103.598807
858;103.597403
859;103.596000
860;103.594597
861;103.593194
862;103.591791
863;103.590388
864;103.588985
865;103.587582
866;103.586179
867;103.584776
868;103.583373
869;103.581970
870;103.580567
871;103.579165
872;103.577762
873;103.576359
874;103.574956
875;103.573553
876;103.572151
877;103.570748
878;103.569345
879;103.567943
880;103.566540
881;103.565138
882;103.563735
883;103.562333
884;103.560930
885;103.559528
886;103.558125
887;103.556723
888;103.555320
889;103.553918
890;103.552516
891;103.551114
892;103.549711
893;103.548309
894;103.546907
895;103.545505
896;103.544102
897;103.542700
898;103.541298
899;103.539896
900;103.538494
901;103.537092
902;103.535690
903;103.534288
904;103.532886
905;103.531484
906;103.530082
907;103.528680
908;103.527279
909;103.525877
910;103.524475
911;103.523073
912;103.521671
913;103.520270
914;103.518868
915;103.517466
916;103.516065
917;103.514663
918;103.513262
919;103.511860
920;103.510458
921;103.509057
922;103.507656
923;103.506254
924;103.504853
925;103.503451
926;103.502050
927;103.500649
928;103.499247
929;103.497846
930;103.496445
931;103.495043
932;103.493642
933;103.492241
934;103.490840
935;103.489439
936;103.488038
937;103.486637
938;103.485236
939;103.483835
940;103.482434
941;103.481033
942;103.479632
943;103.478231
944;103.476830
945;103.475429
946;103.474028
947;103.472627
948;103.471227
949;103.469826
950;103.468425
951;103.467024
952;103.465624
953;103.464223
954;103.462823
955;103.461422
956;103.460021
957;103.458621
958;103.457220
959;103.455820
960;103.454419
961;103.453019
962;103.451619
963;103.450218
964;103.448818
965;103.447418
966;103.446017
967;103.444617
968;103.443217
969;103.441816
970;103.440416
971;103.439016
972;103.437616
973;103.436216
974;103.434816
975;103.433416
976;103.432016
977;103.430616
978;103.429216
979;103.427816
980;103.426416
981;103.425016
982;103.423616
983;103.422216
984;103.420816
985;103.419417
986;103.418017
987;103.416617
988;103.415217
989;103.413818
990;103.412418
991;103.411018
992;103.409619
993;103.408219
994;103.406820
995;103.405420
996;103.404021
997;103.402621
998;103.401222
999;103.399822
1000;103.398423
