"Iteracao";"grad_m";"grad_b"
214;-0.219913;3.694289
215;-0.219893;3.693938
216;-0.219872;3.693586
217;-0.219851;3.693235
218;-0.219830;3.692884
219;-0.219809;3.692533
220;-0.219788;3.692182
221;-0.219767;3.691830
222;-0.219746;3.691479
223;-0.219725;3.691128
224;-0.219704;3.690777
225;-0.219684;3.690426
226;-0.219663;3.690075
227;-0.219642;3.689724
228;-0.219621;3.689373
229;-0.219600;3.689022
230;-0.219579;3.688672
231;-0.219558;3.688321
232;-0.219537;3.687970
233;-0.219516;3.687619
234;-0.219496;3.687269
235;-0.219475;3.686918
236;-0.219454;3.686567
237;-0.219433;3.686217
238;-0.219412;3.685866
239;-0.219391;3.685515
240;-0.219370;3.685165
241;-0.219349;3.684814
242;-0.219329;3.684464
243;-0.219308;3.684114
244;-0.219287;3.683763
245;-0.219266;3.683413
246;-0.219245;3.683063
247;-0.219224;3.682712
248;-0.219203;3.682362
249;-0.219183;3.682012
250;-0.219162;3.681662
251;-0.219141;3.681312
252;-0.219120;3.680961
253;-0.219099;3.680611
254;-0.219078;3.680261
255;-0.219058;3.679911
256;-0.219037;3.679561
257;-0.219016;3.679211
258;-0.218995;3.678861
259;-0.218974;3.678512
260;-0.218953;3.678162
261;-0.218933;3.677812
262;-0.218912;3.677462
263;-0.218891;3.677112
264;-0.218870;3.676763
265;-0.218849;3.676413
266;-0.218829;3.676063
267;-0.218808;3.675714
268;-0.218787;3.675364
269;-0.218766;3.675015
270;-0.218745;3.674665
271;-0.218725;3.674316
272;-0.218704;3.673966
273;-0.218683;3.673617
274;-0.218662;3.673267
275;-0.218641;3.672918
276;-0.218621;3.672569
277;-0.218600;3.672219
278;-0.218579;3.671870
279;-0.218558;3.671521
280;-0.218537;3.671172
281;-0.218517;3.670823
282;-0.218496;3.670474
283;-0.218475;3.670124
284;-0.218454;3.669775
285;-0.218433;3.669426
286;-0.218413;3.669077
287;-0.218392;3.668728
288;-0.218371;3.668380
289;-0.218350;3.668031
290;-0.218330;3.667682
291;-0.218309;3.667333
292;-0.218288;3.666984
293;-0.218267;3.666635
294;-0.218247;3.666287
295;-0.218226;3.665938
296;-0.218205;3.665589
297;-0.218184;3.665241
298;-0.218164;3.664892
299;-0.218143;3.664544
300;-0.218122;3.664195
301;-0.218101;3.663847
302;-0.218081;3.663498
303;-0.218060;3.663150
304;-0.218039;3.662801
305;-0.218018;3.662453
306;-0.217998;3.662105
307;-0.217977;3.661756
308;-0.217956;3.661408
309;-0.217935;3.661060
310;-0.217915;3.660712
311;-0.217894;3.660364
312;-0.217873;3.660015
313;-0.217853;3.659667
314;-0.217832;3.659319
315;-0.217811;3.658971
316;-0.217790;3.658623
317;-0.217770;3.658275
318;-0.217749;3.657927
319;-0.217728;3.657580
320;-0.217708;3.657232
321;-0.217687;3.656884
322;-0.217666;3.656536
323;-0.217645;3.656188
324;-0.217625;3.655841
325;-0.217604;3.655493
326;-0.217583;3.655145
327;-0.217563;3.654798
328;-0.217542;3.654450
329;-0.217521;3.654103
330;-0.217501;3.653755
331;-0.217480;3.653407
332;-0.217459;3.653060
333;-0.217439;3.652713
334;-0.217418;3.652365
335;-0.217397;3.652018
336;-0.217376;3.651671
337;-0.217356;3.651323
338;-0.217335;3.650976
339;-0.217314;3.650629
340;-0.217294;3.650282
341;-0.217273;3.649934
342;-0.217252;3.649587
343;-0.217232;3.649240
344;-0.217211;3.648893
345;-0.217190;3.648546
346;-0.217170;3.648199
347;-0.217149;3.647852
348;-0.217129;3.647505
349;-0.217108;3.647158
350;-0.217087;3.646811
351;-0.217067;3.646465
352;-0.217046;3.646118
353;-0.217025;3.645771
354;-0.217005;3.645424
355;-0.216984;3.645078
356;-0.216963;3.644731
357;-0.216943;3.644384
358;-0.216922;3.644038
359;-0.216901;3.643691
360;-0.216881;3.643345
361;-0.216860;3.642998
362;-0.216840;3.642652
363;-0.216819;3.642305
364;-0.216798;3.641959
365;-0.216778;3.641612
366;-0.216757;3.641266
367;-0.216737;3.640920
368;-0.216716;3.640574
369;-0.216695;3.640227
370;-0.216675;3.639881
371;-0.216654;3.639535
372;-0.216633;3.639189
373;-0.216613;3.638843
374;-0.216592;3.638497
375;-0.216572;3.638151
376;-0.216551;3.637805
377;-0.216530;3.637459
378;-0.216510;3.637113
379;-0.216489;3.636767
380;-0.216469;3.636421
381;-0.216448;3.636075
382;-0.216428;3.635729
383;-0.216407;3.635383
384;-0.216386;3.635038
385;-0.216366;3.634692
386;-0.216345;3.634346
387;-0.216325;3.634001
388;-0.216304;3.633655
389;-0.216283;3.633309
390;-0.216263;3.632964
391;-0.216242;3.632618
392;-0.216222;3.632273
393;-0.216201;3.631927
394;-0.216181;3.631582
395;-0.216160;3.631237
396;-0.216140;3.630891
397;-0.216119;3.630546
398;-0.216098;3.630201
399;-0.216078;3.629855
400;-0.216057;3.629510
401;-0.216037;3.629165
402;-0.216016;3.628820
403;-0.215996;3.628475
404;-0.215975;3.628130
405;-0.215955;3.627785
406;-0.215934;3.627440
407;-0.215914;3.627095
408;-0.215893;3.626750
409;-0.215872;3.626405
410;-0.215852;3.626060
411;-0.215831;3.625715
412;-0.215811;3.625370
413;-0.215790;3.625025
414;-0.215770;3.624681
415;-0.215749;3.624336
416;-0.215729;3.623991
417;-0.215708;3.623647
418;-0.215688;3.623302
419;-0.215667;3.622957
420;-0.215647;3.622613
421;-0.215626;3.622268
422;-0.215606;3.621924
423;-0.215585;3.621579
424;-0.215565;3.621235
425;-0.215544;3.620890
426;-0.215524;3.620546
427;-0.215503;3.620202
428;-0.215483;3.619857
429;-0.215462;3.619513
430;-0.215442;3.619169
431;-0.215421;3.618825
432;-0.215401;3.618481
433;-0.215380;3.618136
434;-0.215360;3.617792
435;-0.215339;3.617448
436;-0.215319;3.617104
437;-0.215298;3.616760
438;-0.215278;3.616416
439;-0.215257;3.616072
440;-0.215237;3.615728
441;-0.215216;3.615384
442;-0.215196;3.615041
443;-0.215176;3.614697
444;-0.215155;3.614353
445;-0.215135;3.614009
446;-0.215114;3.613666
447;-0.215094;3.613322
448;-0.215073;3.612978
449;-0.215053;3.612635
450;-0.215032;3.612291
451;-0.215012;3.611948
452;-0.214991;3.611604
453;-0.214971;3.611261
454;-0.214951;3.610917
455;-0.214930;3.610574
456;-0.214910;3.610230
457;-0.214889;3.609887
458;-0.214869;3.609544
459;-0.214848;3.609200
460;-0.214828;3.608857
461;-0.214807;3.608514
462;-0.214787;3.608171
463;-0.214767;3.607827
464;-0.214746;3.607484
465;-0.214726;3.607141
466;-0.214705;3.606798
467;-0.214685;3.606455
468;-0.214664;3.606112
469;-0.214644;3.605769
470;-0.214624;3.605426
471;-0.214603;3.605083
472;-0.214583;3.604741
473;-0.214562;3.604398
474;-0.214542;3.604055
475;-0.214522;3.603712
476;-0.214501;3.603369
477;-0.214481;3.603027
478;-0.214460;3.602684
479;-0.214440;3.602341
480;-0.214420;3.601999
481;-0.214399;3.601656
482;-0.214379;3.601314
483;-0.214358;3.600971
484;-0.214338;3.600629
485;-0.214318;3.600286
486;-0.214297;3.599944
487;-0.214277;3.599602
488;-0.214257;3.599259
489;-0.214236;3.598917
490;-0.214216;3.598575
491;-0.214195;3.598232
492;-0.214175;3.597890
493;-0.214155;3.597548
494;-0.214134;3.597206
495;-0.214114;3.596864
496;-0.214094;3.596522
497;-0.214073;3.596180
498;-0.214053;3.595838
499;-0.214033;3.595496
500;-0.214012;3.595154
501;-0.213992;3.594812
502;-0.213971;3.594470
503;-0.213951;3.594128
504;-0.213931;3.593786
505;-0.213910;3.593444
506;-0.213890;3.593103
507;-0.213870;3.592761
508;-0.213849;3.592419
509;-0.213829;3.592078
510;-0.213809;3.591736
511;-0.213788;3.591394
512;-0.213768;3.591053
513;-0.213748;3.590711
514;-0.213727;3.590370
515;-0.213707;3.590028
516;-0.213687;3.589687
517;-0.213666;3.589345
518;-0.213646;3.589004
519;-0.213626;3.588663
520;-0.213605;3.588321
521;-0.213585;3.587980
522;-0.213565;3.587639
523;-0.213545;3.587298
524;-0.213524;3.586957
525;-0.213504;3.586615
526;-0.213484;3.586274
527;-0.213463;3.585933
528;-0.213443;3.585592
529;-0.213423;3.585251
530;-0.213402;3.584910
531;-0.213382;3.584569
532;-0.213362;3.584228
533;-0.213342;3.583887
534;-0.213321;3.583547
535;-0.213301;3.583206
536;-0.213281;3.582865
537;-0.213260;3.582524
538;-0.213240;3.582184
539;-0.213220;3.581843
540;-0.213200;3.581502
541;-0.213179;3.581162
542;-0.213159;3.580821
543;-0.213139;3.580480
544;-0.213118;3.580140
545;-0.213098;3.579799
546;-0.213078;3.579459
547;-0.213058;3.579119
548;-0.213037;3.578778
549;-0.213017;3.578438
550;-0.212997;3.578097
551;-0.212977;3.577757
552;-0.212956;3.577417
553;-0.212936;3.577077
554;-0.212916;3.576736
555;-0.212896;3.576396
556;-0.212875;3.576056
557;-0.212855;3.575716
558;-0.212835;3.575376
559;-0.212815;3.575036
560;-0.212794;3.574696
561;-0.212774;3.574356
562;-0.212754;3.574016
563;-0.212734;3.573676
564;-0.212713;3.573336
565;-0.212693;3.572996
566;-0.212673;3.572657
567;-0.212653;3.572317
568;-0.212632;3.571977
569;-0.212612;3.571637
570;-0.212592;3.571298
571;-0.212572;3.570958
572;-0.212552;3.570618
573;-0.212531;3.570279
574;-0.212511;3.569939
575;-0.212491;3.569600
576;-0.212471;3.569260
577;-0.212451;3.568921
578;-0.212430;3.568581
579;-0.212410;3.568242
580;-0.212390;3.567903
581;-0.212370;3.567563
582;-0.212350;3.567224
583;-0.212329;3.566885
584;-0.212309;3.566546
585;-0.212289;3.566206
586;-0.212269;3.565867
587;-0.212249;3.565528
588;-0.212228;3.565189
589;-0.212208;3.564850
590;-0.212188;3.564511
591;-0.212168;3.564172
592;-0.212148;3.563833
593;-0.212128;3.563494
594;-0.212107;3.563155
595;-0.212087;3.562816
596;-0.212067;3.562477
